cl_id,name,EC_No,CAS_No,cl_classification,sourse,num_of_notifiers,ghs_and_notifiers
164278,"(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol;hydrate",631-198-2,35380-71-3,Carc. 2;Repr. 1A;Lact.,Notified C&L,83,H362:63;H351:80;H360:82;H302:18;H332:17;H312:17;H413:1;H334:1;H372:1;H350:1;H411:1
164279,Dibenzyldimethylammonium chloride monohydrate,631-199-8,197961-03-8,Acute Tox. 4;Acute Tox. 4;Skin Corr. 1B;Aquatic Acute 1,Notified C&L,38,H302:38;H314:38;H312:38;H400:38
164280,"4-(4-Methylphenyl)-3,5-dicyano-2,6-dimethyl-1,4-dihydropyridine",631-200-1,111564-26-2,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,38,H302:38;H335:38;H312:38;H319:38;H315:38
164281,"Bis(1,2-benzenediaminato-N,N')nickel",631-201-7,111532-88-8,Acute Tox. 4;Acute Tox. 4;Skin Sens. 1;Acute Tox. 4;Carc. 1B,Notified C&L,38,H302:38;H332:38;H312:38;H350:38;H317:38
164282,5-[[4-(Dimethylamino)phenyl]imino]-8(5H)-quinolinone,631-202-2,111811-34-8,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,38,H319:38;H335:38;H315:38
164283,2-(2-Pyridyldithio)ethanol,631-203-8,111625-28-6,Eye Dam. 1,Notified C&L,39,H318:39;H302:1;H332:1;H312:1;H335:1;H317:1;H315:1;H412:1
164284,Phytanic acid methyl ester,631-204-3,1118-77-0,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,39,H319:38;H335:38;H315:38;Not classified:1
164285,3-Methyl-3-butenal,631-205-9,1118-59-8,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,38,H319:38;H335:38;H315:38
164286,"tert-Butyl [R-(R*,S*)]-N-[2-hydroxy-2-(3-hydroxyphenyl)-1-methylethyl]carbamate",631-206-4,112113-57-2,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,38,H319:38;H335:38;H315:38
164287,Decylplastoquinone,631-208-5,112055-76-2,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,38,H302:38;H332:38;H312:38;H335:38;H319:38;H315:38
164288,4'-Aminobenzo-15-crown-5 hydrochloride,631-209-0,111076-66-5,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,38,H302:38;H332:38;H312:38;H335:38;H319:38;H315:38
