cl_id,name,EC_No,CAS_No,cl_classification,sourse,num_of_notifiers,ghs_and_notifiers
43237,"1,1'-but-2-ynylenedipyrrolidinium dichloride",206-097-8,300-68-5,Acute Tox. 4;Acute Tox. 4;Acute Tox. 4,Notified C&L,38,H332:38;H312:38;H302:38
43240,2-(N-ethylanilino)ethanol,202-160-9,92-50-2,Skin Corr. 1B;Eye Dam. 1,REACH registration C&L,163,H314:33;H318:117;H317:85;H302:130;H331:84;H319:45;H315:44;H335:43;H412:20;H332:1;H312:1
43246,"1,1-diethoxyisooctane",273-905-3,69178-43-4,Flam. Liq. 3,Notified C&L,115,H226:115;H335:2
43248,N-Methylmethanesulfonamide,601-529-5,1184-85-6,,Notified C&L,4,H226:4;H319:2;H315:2;H335:2
43252,"Disodium 7-[(4,6-dichloro-1,3,5-triazin-2-yl)amino]-4-hydroxy-3-[(4-methoxy-2-sulphonatophenyl)azo]naphthalene-2-sulphonate",247-026-0,25489-36-5,,Notified C&L,1,Not classified:1
43256,"Poly(oxy-1,2-ethanediyl), alpha-(2-methyl-1-oxo-2-propenyl)-omega-hydroxy-, C16-18-alkyl ethers",615-186-4,70879-51-5,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,449,H319:441;H315:443;H335:443;Not classified:6;H318:2;H317:2
43258,"1,2-dimethoxy-12-methyl[1,3]benzodioxolo[5,6-c]phenanthridinium chloride",223-444-9,3895-92-9,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,42,H332:40;H315:41;H312:40;H335:40;H302:41;H319:41
43260,Cibenzoline,258-453-7,53267-01-9,Acute Tox. 4;Skin Irrit. 2,Notified C&L,1,H302:1;H315:1
43262,"cis-1,2,3,6-tetrahydrophthalimide",215-999-0,1469-48-3,Acute Tox. 5;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1,H303:1;H319:1;H315:1;H335:1
43264,"Cymbopogon, ext., oxidized",282-487-1,84238-19-7,Not Classified,Notified C&L,88,Not classified:88
43267,(±)-2-amino-3-(p-chlorophenyl)propanol,252-533-5,35373-63-8,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,38,H319:38;H315:38;H335:38
43269,"Poly(oxy-1,2-ethanediyl),α-hydro-ω-hydroxy- Ethane-1,2-diol, ethoxylated",500-038-2,25322-68-3,Not Classified,REACH registration C&L,3339,Not classified:2978;H335:281;H319:114;H336:35;H302:6;H314:1;H351:1;H315:1;H226:1
43272,"2,2'-butyliminodiethanol",203-055-0,102-79-4,Eye Dam. 1,REACH registration C&L,331,H318:233;Not classified:55;H314:64
43273,2-ethylhexyl 4-(dimethylamino)benzoate,244-289-3,21245-02-3,Repr. 1B;Repr. 1B,REACH registration C&L,388,H360:12;Not classified:156;H319:220;H315:134;H335:127
43281,Dimethyl (3-amino-3-oxopropyl)phosphonate,219-765-9,2526-69-4,Not Classified,Notified C&L,7,Not classified:7
43282,"1-methyltrimethylene diacrylate;1,3-butylene glycol diacrylate",243-105-9,19485-03-1,Acute Tox. 4;Skin Corr. 1B;Skin Sens. 1,Harmonised C&L,0,H317:0;H312:0;H314:0
43284,"Benzenesulfonic acid, hydroxy-, reaction products with formaldehyde and urea, ammonium salts",296-371-3,92623-43-3,Not Classified,Notified C&L,3,Not classified:2;H319:1
43287,κ-Carrageenan,234-350-2,11114-20-8,,Notified C&L,44,Not classified:44
43290,"ETHYL (2R,3AR,10Z,11AS,12AR,14AR)-2-({7-METHOXY-8-METHYL-2-[4-(PROPAN-2-YL)-1,3-THIAZOL-2-YL]QUINOLIN-4-YL}OXY)-5-METHYL-4,14-DIOXO-2,3,3A,4,5,6,7,8,9,11A,12,13,14,14A-TETRADECAHYDROCYCLOPENTA[C]CYCLOPROPA[G][1,6]DIAZACYCLOTETRADECINE-12A(1H)-CARBOXYLATE",618-843-3,923604-57-3,Acute Tox. 4,REACH registration C&L,1,H302:1
43293,Pentamethylphenol,220-580-0,2819-86-5,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,38,H319:38;H315:38;H335:38
43295,"Inula graveolens, ext.",295-773-6,92128-75-1,Not Classified,Notified C&L,187,Not classified:184;H317:2;H315:2;H411:2;H304:3;H412:1
43298,"Fatty acids, palm-oil, hydrogenated",282-486-6,84238-17-5,Not Classified,REACH registration C&L,13,Not classified:13
43299,Diammonium iron bis(sulphate),233-151-8,10045-89-3,Not Classified,REACH registration C&L,69,Not classified:67;H319:2;H315:2;H335:2
43301,Naturally occurring substances,310-127-6,999999-99-4,Not Classified,Notified C&L,511,Not classified:316;H372:49;H315:46;H360:107;H351:62;H373:91;H411:43;H410:40;H317:42;H350:41;H400:29;H226:22;H304:21;H332:7;H302:19;H412:18;H335:2;H319:3;H314:1;H371:1;H312:1;H318:1
43308,methyl 4-bromomethyl-3-methoxybenzoate,410-310-1,70264-94-7,Skin Irrit. 2;Eye Dam. 1;Skin Sens. 1;Aquatic Acute 1;Aquatic Chronic 1,Harmonised C&L,0,H410:0;H315:0;H317:0;H400:0;H318:0
43313,p-(chloromethyl)anisole,212-540-6,824-94-2,Skin Corr. 1B,Notified C&L,47,H314:47;H290:2;H318:2;H335:1
43319,Cobalt disodium ethylenediaminetetraacetate,239-198-0,15137-09-4,Acute Tox. 4;Skin Sens. 1,REACH registration C&L,112,H317:20;H302:20;H351:86;Not classified:6
43320,"1,5-Naphthalenedisulfonic acid, 2-[2-[6-[[4-chloro-6-[[3-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]-1,3,5-triazin-2-yl]amino]-1-hydroxy-3-sulfo-2-naphthalenyl]diazenyl]-",604-676-3,149124-59-4,Not Classified,Notified C&L,13,Not classified:13
43321,"Poly(oxy-1,2-ethanediyl), alpha-(2-methyl-1-oxo-2-propenyl)-omega hydroxy-, C22-alkyl ether",603-068-5,125441-87-4,Acute Tox. 4;Acute Tox. 4;Skin Corr. 1B;Eye Dam. 1;Resp. Sens. 1,Notified C&L,45,H314:38;H302:38;H334:38;H312:38;H318:39;Not classified:6;H317:1;H315:1;H335:1
