cl_id,name,EC_No,CAS_No,cl_classification,sourse,num_of_notifiers,ghs_and_notifiers
274214,1-(2-fluoro-6-nitrophenyl)ethan-1-one,830-063-7,1214377-22-6,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1;H302:1
274215,4-bromo-3-fluoro-2-methoxypyridine,830-064-2,1227599-41-8,Acute Tox. 4;Skin Irrit. 2;Eye Dam. 1;STOT SE 3,Notified C&L,1.0,H315:1;H335:1;H318:1;H302:1
274216,3-(2-fluorophenyl)oxetan-3-amine hydrochloride,830-065-8,1332839-78-7,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1;H302:1
274217,5-bromo-2-chloro-3-(propan-2-yloxy)pyridine,830-066-3,1335058-63-3,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1;H302:1
274218,3-bromo-1-(4-bromophenyl)pyrrolidin-2-one,830-067-9,1341300-86-4,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1;H302:1
274219,"1-{6-methylimidazo[1,2-a]pyridin-2-yl}ethan-1-one",830-068-4,1538994-41-0,Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1
274220,"2-(1,2-thiazol-5-yl)ethan-1-amine hydrochloride",830-070-5,2089258-27-3,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;Acute Tox. 4;STOT SE 3,Notified C&L,1.0,H315:1;H312:1;H335:1;H332:1;H302:1;H319:1
274221,1-benzoyl-2-[(4RS)-1-methylhexahydro-1H-azepin-4-yl] diazane,830-071-0,110406-94-5,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1;H302:1
274222,"2,5-dichloro-4-ethoxybenzyl 4,5-dihydro-5,5-dimethylisoxazol-3-yl sulfone",830-072-6,639826-16-7,Skin Sens. 1;STOT RE 2;Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,17.0,H373:17;H400:17;H317:17;H410:17
274223,1-[4-(Ethylsulfonyl)phenyl]methanamine,830-076-8,583837-94-9,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,1.0,H315:1;H312:1;H335:1;H332:1;H302:1;H319:1
274224,Methyl 3-(bromomethyl)bicyclo[1.1.1]pentane-1-carboxylate,830-077-3,1113001-87-8,Skin Corr. 1C,Notified C&L,1.0,H314:1
274225,4-Bromo-2-cyanobenzoic acid,830-078-9,1223434-16-9,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,1.0,H315:1;H312:1;H335:1;H332:1;H302:1;H319:1
274226,Methyl 2-Fluoro-2-methylpropionate,830-079-4,338-76-1,Flam. Liq. 3,Notified C&L,2.0,H226:1;H225:1;H314:1;H318:1
274227,2-(Difluoromethoxy)-4-fluorophenol,830-081-5,1261572-13-7,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,1.0,H315:1;H312:1;H335:1;H332:1;H302:1;H319:1
274228,3-(4-Chlorophenyl)-2-hydroxypropionic acid,830-082-0,23434-95-9,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,2.0,H315:2;H319:2;H335:2;H302:1
274229,"(4R)-4-Methyl-1,3,2-dioxathiolane 2,2-dioxide",830-083-6,1006381-03-8,Muta. 2,Notified C&L,2.0,H341:2;H302:1
274230,Methyl 2-Methyl-3-(methylsulfonyl)benzoate,830-084-1,1256633-15-4,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1
274231,"2-(2,5-Dichlorophenyl)-1,4-benzoquinone",830-085-7,79756-69-7,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,1.0,H315:1;H312:1;H335:1;H332:1;H302:1;H319:1
274232,"D-Glucopyranose, oligomeric, decyl octyl glycosides, 2-hydroxy-3-sulfopropyl ethers, sodium salts",830-086-2,742087-48-5,Not Classified,REACH registration C&L,2.0,Not classified:2
274233,"7-bromo-2,4-dichloro-6,8-difluoroquinazoline",948-831-6,,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;Acute Tox. 4;STOT SE 3,Notified C&L,1.0,H315:1;H312:1;H335:1;H332:1;H302:1;H319:1
274234,2-oxooxolane-4-carboxylic acid,830-087-8,498-89-5,Acute Tox. 4;Skin Irrit. 2;Eye Dam. 1;STOT SE 3,Notified C&L,1.0,H315:1;H335:1;H318:1;H302:1
274235,"5-chloro-2-(2,5-dimethyl-1H-pyrrol-1-yl)benzoic acid",830-088-3,292058-57-2,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1;H302:1
274236,4-bromo-2-fluoropyrimidine,830-089-9,1209458-22-9,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Dam. 1;Acute Tox. 4;STOT SE 3,Notified C&L,2.0,H315:2;H312:2;H335:2;H332:2;H302:2;H318:2
274237,2-(2-cyclopropylethynyl)benzoic acid,830-090-4,1313028-09-9,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1;H302:1
274238,"rac-(1R,5S)-8-oxa-3-azabicyclo[3.2.1]octan-2-one",948-832-1,,Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1
274239,"5-chloro-2-(5-chloro-1H-1,2,4-triazol-1-yl)pyridine",948-833-7,,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1;H302:1
274240,5-(3-aminopropyl)pyridin-2-ol hydrochloride,948-834-2,,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1;H302:1
274241,2-{[3-(trifluoromethyl)phenyl]amino}acetic acid,830-092-5,349-81-5,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1;H302:1
274242,"rac-(1R,2S)-1-methylcyclopropane-1,2-dicarboxylic acid",830-093-0,697-48-3,Skin Irrit. 2;Eye Dam. 1;STOT SE 3,Notified C&L,1.0,H315:1;H335:1;H318:1
274243,"4,5-dihydro-1,2-oxazole-3-carboxylic acid",830-094-6,4485-98-7,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1;H302:1
274244,"2,2,2-trichloroethane-1-sulfonyl chloride",830-095-1,14994-00-4,Skin Corr. 1B,Notified C&L,1.0,H314:1
274245,1-aminocyclopentane-1-carbonitrile hydrochloride,830-096-7,16195-83-8,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;Acute Tox. 4;STOT SE 3,Notified C&L,2.0,H315:2;H312:2;H335:2;H332:2;H302:2;H319:2
274246,"ethyl 5-tert-butyl-1,3-oxazole-2-carboxylate",830-097-2,33123-71-6,Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1
274247,"1,2,4-oxadiazole-3-carbonitrile",830-098-8,39512-75-9,Flam. Liq. 4;Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;Acute Tox. 4;STOT SE 3,Notified C&L,1.0,H315:1;H312:1;H335:1;H332:1;H302:1;H319:1;H227:1
274248,"5-methyl-1,3,4-thiadiazole-2-carbaldehyde",830-099-3,61018-49-3,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;Acute Tox. 4;STOT SE 3,Notified C&L,1.0,H315:1;H312:1;H335:1;H332:1;H302:1;H319:1
274249,5-bromo-6-methylquinoline,830-100-7,65513-45-3,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H315:1;H319:1;H335:1;H302:1
