cl_id,name,EC_No,CAS_No,cl_classification,sourse,num_of_notifiers,ghs_and_notifiers
248519,4-Chlorophenyl trifluoromethanesulphonate,810-735-6,29540-84-9,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,1,H319:1;H335:1;H315:1
248520,"(1R,5S,6r)-3-(tert-Butoxycarbonyl)-3-azabicyclo[3.1.0]hexane-6-carboxylic acid",810-736-1,927679-54-7,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,2,H319:1;H302:2;H315:1;H312:1;H332:1;H335:1
248521,1-Hydroxyisoquinoline-7-carboxylic acid,810-737-7,1301214-62-9,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,1,H319:1;H335:1;H315:1
248522,2-(propan-2-yloxy)acetic acid,810-738-2,33445-07-7,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,2,H319:1;H335:1;H315:1;H302:1;H314:1
248523,Tris(ethyl)amine pentahydrofluoride,810-739-8,94527-74-9,Skin Corr. 1B,Notified C&L,2,H314:2;H300:1;H310:1;H330:1
248524,meta-Topolin,810-740-3,75737-38-1,Acute Tox. 4;Acute Tox. 4;Acute Tox. 4,Notified C&L,1,H312:1;H332:1;H302:1
248525,5-Chloro-2-methoxynicotinic acid,810-741-9,54916-65-3,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,1,H319:1;H302:1;H315:1;H312:1;H332:1;H335:1
248526,Tarenflurbil-acyl-beta-D-glucuronide,810-742-4,162992-67-8,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,1,H319:1;H302:1;H315:1;H312:1;H332:1;H335:1
248527,2-Bromo-5-(trifluoromethoxy)pyridine,810-744-5,888327-36-4,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,2,H319:2;H335:2;H302:2;H315:2
248528,2'-Fluoro-5'-iodoacetophenone,810-745-0,,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,1,H319:1;H335:1;H315:1
248529,8-Fluoro-2-methylquinoline-7-boronic acid,810-746-6,957035-06-2,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2,Notified C&L,1,H319:1;H335:1;H302:1;H315:1
248530,"Pyrrolidine-2,5-diyldimethanol",810-747-1,5626-66-4,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,1,H319:1;H335:1;H315:1
248531,N-Methyl-N-(oxetan-3-yl)azetidin-3-amine dihydrochloride,810-748-7,1403767-34-9,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,1,H319:1;H335:1;H315:1
248532,(azetidin-2-yl)methanol,810-749-2,250274-91-0,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,2,H319:1;H302:1;H315:2;H312:1;H332:1;H335:2;H318:1;H227:1
248533,[No public or meaningful name is available],810-750-8,63284-72-0,Acute Tox. 4,Notified C&L,1,H302:1
248534,[No public or meaningful name is available],810-751-3,411221-53-9,Acute Tox. 4,Notified C&L,1,H302:1
248535,"Lutetium aluminium oxide, cerium doped, garnet",942-643-8,,Not Classified,REACH registration C&L,1,Not classified:1
