cl_id,name,EC_No,CAS_No,cl_classification,sourse,num_of_notifiers,ghs_and_notifiers
71748,Zirconium praseodymium yellow zircon,269-075-7,68187-15-5,Not Classified,REACH registration C&L,106,Not classified:106
71752,"poly-[((4-((4-ethyl-ethylene)amino)phenyl)-((4-(ethyl-(2-oxyethylene)amino)phenyl)methinyl)cyclohexa-2,5-dienylidene)-N-ethyl-N-(2-hydroxyethyl)ammonium acetate]",427-280-0,176429-27-9,Skin Irrit. 2;Eye Dam. 1;STOT SE 3;Aquatic Acute 1;Aquatic Chronic 1,Harmonised C&L,0,H335:0;H315:0;H400:0;H410:0;H318:0
71755,Tetraphenylphthalic anhydride,225-253-6,4741-53-1,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,42,H335:42;H315:42;H319:42
71759,4-chloro-3-nitrobenzonitrile,213-364-2,939-80-0,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,46,H335:45;H315:46;H319:46;H302:1;H332:1;H312:1
71763,Dihydro-5-octylfuran-2(3H)-one,218-971-6,2305-05-7,Skin Irrit. 2,REACH registration C&L,1719,H315:105;Not classified:1614;H335:91;H319:96
71768,"4'-Chloro-3,4-dihydroxybenzophenone",603-838-0,134612-84-3,Skin Sens. 1,Notified C&L,1,H317:1
71772,"2,3-dihydrophthalazine-1,4-dione",215-893-4,1445-69-8,Not Classified,Notified C&L,2,Not classified:1;H302:1;H335:1;H315:1;H319:1
71779,Triethylammonium hydrogen sulphate,259-057-7,54272-29-6,,Notified C&L,6,H314:4;H318:2;Not classified:2
71780,"1-deoxy-1-(methylamino)-D-glucitol, compound with antimonic acid (1:1)",205-108-3,133-51-7,Not Classified,Notified C&L,2,Not classified:1;H302:1;H332:1;H411:1
71781,"3-[(7aS)-7a-methyl-1,5-dioxooctahydro-1H-inden-4-yl]propanoic acid",435-830-6,1944-63-4,Eye Dam. 1,REACH registration C&L,2,H318:2
71782,"3,5-dimethylbenzoic acid",207-876-5,499-06-9,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,45,H335:44;H315:45;H319:45
71783,Lithium tantalum trioxide,234-757-5,12031-66-2,Acute Tox. 4;Acute Tox. 4;Acute Tox. 4,Notified C&L,40,H302:39;H332:39;H312:39;Not classified:1
71791,Sodium iodide,231-679-3,7681-82-5,Skin Irrit. 2;Eye Irrit. 2;STOT RE 1;Aquatic Acute 1,REACH registration C&L,506,H372:247;H315:232;H319:232;H400:187;H335:81;Not classified:39;H302:8;H373:4;H410:2;H314:1;H317:1
71792,Methyl 2-oxocyclopentanecarboxylate,233-962-7,10472-24-9,Not Classified,Notified C&L,5,Not classified:2;H335:3;H315:3;H319:3;H302:2
71794,"(2Z)-(5-amino-1,2,4-thiadiazol-3-yl){[(1-tert-butoxy-2-methyl-1-oxopropan-2-yl)oxy]imino}acetic acid",616-285-5,76028-96-1,Skin Sens. 1;Resp. Sens. 1,REACH registration C&L,3,H334:1;H317:1;Not classified:1;H335:1;H315:1;H319:1
71799,"1,4-Androstadiene-3,17-dione, 2-Naphthol-Complex",600-487-5,103799-56-0,Aquatic Chronic 2,Notified C&L,1,H411:1
71803,Chlorobutanol hemihydrate,611-927-0,6001-64-5,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,61,H302:61;H335:41;H315:42;H319:42
71806,Sodium hydrogen fumarate,227-535-4,5873-57-4,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,17,H335:15;H315:16;H319:17
71814,"3,4,4-TRIMETHYLOXAZOLIDINE",616-253-0,75673-43-7,Not Classified,Notified C&L,55,Not classified:35;H335:20;H315:20;H331:20;H302:20;H318:20
71816,Decyltriethoxysilane,220-940-7,2943-73-9,,Notified C&L,6,H315:6;H319:6
71822,"α-D-Mannopyranosyl fluoride, tetrakis(2,2-dimethylpropanoate)",606-107-4,187269-63-2,Not Classified,Notified C&L,1,Not classified:1
71826,Benzyltrimethylammonium bromide,226-320-2,5350-41-4,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,43,H335:42;H315:43;H319:43;H302:5
71828,"Residual oils (petroleum), catalytic dewaxed;Baseoil - unspecified",294-843-3,91770-57-9,Carc. 1B,Harmonised C&L,0,H350:0
71829,"3,5-diiodotyrosine",200-620-3,66-02-4,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,39,H302:38;H335:39;H315:39;H319:39
71830,"1,2-dibromo(phenyl)ethane",202-253-4,93-52-7,Skin Corr. 1B,Notified C&L,61,H314:61;H318:2
71831,"Fatty acids, vegetable-oil, Me esters",273-606-8,68990-52-3,Not Classified,REACH registration C&L,270,Not classified:270
71832,"[1,1'-Bicyclohexyl]-4-one,4'-propyl-,",617-391-4,82832-73-3,Aquatic Chronic 1,REACH registration C&L,1,H410:1
71834,"2-Propenoic acid, 3-(2-bromo-5-fluorophenyl)-",606-497-6,202865-70-1,,Notified C&L,4,H335:4;H315:4;H319:4
71838,"2,6-dichlorobenzyl thiocyanate",231-401-0,7534-64-7,Acute Tox. 4,Notified C&L,39,H302:38;H335:1;H315:1;H319:1
71839,"Cadmium sulfide (CdS), copper chloride-doped",272-541-2,68877-00-9,Acute Tox. 4;Muta. 2;Carc. 1B;Repr. 2;STOT RE 1;Aquatic Chronic 4,Notified C&L,1,H361:1;H350:1;H302:1;H341:1;H372:1;H413:1
71840,Dicalcium pyrophosphate,232-221-5,7790-76-3,Not Classified,REACH registration C&L,54,Not classified:11;H335:43;H315:43;H319:43
71841,(+)-N-Ethyl-N-methyl-3-[1-(dimethylamino)ethyl]phenylcarbamate,602-936-0,123441-03-2,Acute Tox. 3;Acute Tox. 4;Acute Tox. 4;Aquatic Chronic 2,Notified C&L,15,H411:10;H301:9;H332:9;H312:9;H300:5;H372:1;Not classified:1;H335:1
