cl_id,name,EC_No,CAS_No,cl_classification,sourse,num_of_notifiers,ghs_and_notifiers
234228,tert-butyl N-[(4-cyanophenyl)methyl]carbamate,801-137-6,66389-80-8,,Notified C&L,2,H335:2;H319:2;H315:2;H302:2;H312:1;H332:1
234230,3-aminobutan-2-ol,801-139-7,42551-55-3,,Notified C&L,2,H314:2
234231,2-ethyl-5-methylhexanoic acid,939-746-5,,Acute Tox. 4;Skin Irrit. 2;Eye Dam. 1,Notified C&L,1,H315:1;H302:1;H318:1
234245,"4-methyl-3-oxo-3,4-dihydro-2H-1,4-benzoxazine-6-carboxylic acid",801-153-3,861338-27-4,,Notified C&L,2,H335:2;H315:2;H319:2;H302:1
234246,Methyl 2-Bromonicotinate,801-154-9,52718-95-3,Skin Irrit. 2;Eye Irrit. 2,Notified C&L,2,H315:2;H319:2;H335:1
234250,3-((tert-butoxycarbonyl)amino)-2-methylpropanoic acid,801-159-6,16948-10-0,,Notified C&L,2,H335:2;H315:2;H319:2
234253,4-Ethenylbenzene-1-sulfonyl chloride,801-162-2,2633-67-2,,Notified C&L,2,H314:2;H318:1;H317:2
234258,tert-butyl 4-(6-nitropyridin-3-yl)piperazine-1-carboxylate,801-163-8,571189-16-7,Acute Tox. 4,REACH registration C&L,4,H302:4
234260,"1,3-Propanediol, 2-methyl-, reaction products with ethenyltrimethoxysilane",700-957-0,,Skin Sens. 1B;STOT RE 2,Notified C&L,1,H373:1;H317:1
234261,"Maytansine, N2'-deacetyl-N2'-[4-methyl-4-(methylthio)-1-oxopentyl]-",801-164-3,890654-03-2,Acute Tox. 3;Acute Tox. 3;Acute Tox. 3,Notified C&L,1,H301:1;H311:1;H331:1
234263,"3-(tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrrole",801-165-9,214360-77-7,,Notified C&L,2,H335:2;H315:2;H319:2
234272,1-(4-chlorophenyl)cyclopropan-1-amine hydrochloride,801-175-3,1009102-44-6,Eye Dam. 1,Notified C&L,41,H318:39;H335:2;H315:2;H319:2;H302:1
