cl_id,name,EC_No,CAS_No,cl_classification,sourse,num_of_notifiers,ghs_and_notifiers
271197,Reaction mass of ethanol and propan-2-ol and propan-1-ol and water,948-394-1,,Flam. Liq. 3;Eye Dam. 1;STOT SE 3;STOT SE 3;Carc. 1A;Repr. 1A;STOT SE 2;STOT RE 1;STOT RE 2,Notified C&L,1.0,H318:1;H371:1;H360:1;H372:1;H335:1;H226:1;H373:1;H336:1;H350:1
271198,ethyl 4-hydroxy-1-phenyl-1H-pyrazole-3-carboxylate,827-341-5,39683-24-4,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H335:1;H302:1;H319:1;H315:1
271199,1-methyl-4-(prop-2-yn-1-yl)piperazine,827-342-0,45813-02-3,Flam. Liq. 4;Acute Tox. 4;Skin Corr. 1B;STOT SE 3,Notified C&L,1.0,H314:1;H227:1;H302:1;H335:1
271200,4-phenylpyridine-2-carboxaldehyde,827-343-6,55218-76-3,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;Acute Tox. 4;STOT SE 3,Notified C&L,1.0,H332:1;H319:1;H335:1;H302:1;H315:1;H312:1
271201,"2-(4-methyl-1,3-thiazol-5-yl)ethan-1-amine",827-344-1,58981-35-4,Acute Tox. 4;Skin Irrit. 2;Eye Dam. 1;STOT SE 3,Notified C&L,1.0,H318:1;H302:1;H335:1;H315:1
271202,4-(2-Hydrazinylethyl)morpholine,827-345-7,2154-24-7,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,2.0,H332:2;H319:2;H335:2;H302:2;H315:2;H312:2
271203,2-chloroquinazolin-4-amine,827-346-2,59870-43-8,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H335:1;H302:1;H319:1;H315:1
271204,"2-(2,5-dioxo-2,5-dihydro-1H-pyrrol-1-yl)-3-phenylpropanoic acid",827-347-8,62212-16-2,Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H335:1;H319:1;H315:1
271205,1-(1-benzofuran-3-yl)ethan-1-one,827-348-3,66611-15-2,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H335:1;H302:1;H319:1;H315:1
271206,"2-chloro-N-(3,5-dimethyl-1-phenyl-1H-pyrazol-4-yl)acetamide",827-349-9,92026-64-7,Acute Tox. 4;Skin Irrit. 2;Eye Dam. 1;STOT SE 3,Notified C&L,1.0,H318:1;H302:1;H335:1;H315:1
271207,3-bromo-5-(trifluoromethyl)-1H-pyrazole,827-350-4,93608-11-8,Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,2.0,H335:1;H319:1;H315:1;Not classified:1
271208,"pyrazolo[1,5-a]pyridin-4-ol",827-352-5,141032-72-6,Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,1.0,H335:1;H319:1;H315:1
271209,"7-Fluoro-benzo[d]imidazo[2,1-b]thiazole-2-carboxylic acid hydrate",948-395-7,,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,1.0,H335:1;H319:1;H315:1
271210,4-[4-(trifluoromethyl)phenyl]piperidine hydrochloride,948-396-2,,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,1.0,H335:1;H319:1;H315:1
271211,"N-[3,5-BIS(HYDROXYMETHYL)PHENYL]-1-[(3,4-DICHLOROPHENYL)METHYL]-5-METHYL-1H-1,2,3-TRIAZOLE-4-CARBOXAMIDE",827-353-0,1150702-30-9,Eye Dam. 1;STOT RE 2;STOT RE 2,Notified C&L,1.0,H318:1;H373:1
271215,"3-(Hydrazinomethyl)-N,N-dimethylaniline dihydrochloride",827-354-6,1177344-05-6,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,1.0,H332:1;H319:1;H335:1;H302:1;H315:1;H312:1
271216,[4-(Methylsulfonyl)-2-nitrophenyl]methanol,948-398-3,,Acute Tox. 4;Acute Tox. 4;Acute Tox. 4,Notified C&L,1.0,H302:1;H312:1;H332:1
271219,"Reaction mass of 5-[(Disubstituted-dihydrocarbopolycyclyl)diazenyl]-6-hydroxy-4-methyl-2-substituted-1-propyl-1,2-dihydropyridine-3-carbonitrile and 1-Butyl-5-[(disubstituted-dihydrocarbopolycyclyl)diazenyl]-6-hydroxy-4-methyl-2-substituted-1,2-dihydropyridine-3-carbonitrile",,,Aquatic Chronic 4,REACH registration C&L,2.0,H413:2
271220,"(2-(3-bromophenyl)ethene-1,1,2-triyl)tribenzene",827-355-1,1400890-62-1,Skin Irrit. 2,Notified C&L,1.0,H315:1
271221,(1-(Pyridin-2-yl)cyclohexyl)methanamine Tosylate,948-400-2,,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,1.0,H335:1;H319:1;H315:1
271222,4-bromo-2-methoxybenzene-1-sulfonyl chloride,827-356-7,145915-29-3,Acute Tox. 4;Skin Corr. 1B,Notified C&L,1.0,H314:1;H302:1
271223,5-methylpyridine-2-carboxylic acid hydrochloride,827-357-2,177359-60-3,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,Notified C&L,2.0,H335:2;H302:2;H319:2;H315:2
