cl_id,name,EC_No,CAS_No,cl_classification,sourse,num_of_notifiers,ghs_and_notifiers
7176,1-bromo-4-fluorobenzene,207-300-2,460-00-4,Flam. Liq. 3;Skin Irrit. 2;Eye Irrit. 2A;STOT SE 3,REACH registration C&L,157.0,H319:124;H226:155;H315:106;H335:103;H317:2;H312:54;H332:141;H302:54;H336:13;Not classified:2
7177,"2,2'-[3-methyl-4-(5-nitrothiazol-2-ylazo)phenylimino]bisethanol",277-184-6,72987-42-9,Not Classified,Notified C&L,4.0,Not classified:4
7178,C.I. ACID BLUE 185,602-507-8,12234-64-9,Skin Sens. 1,Notified C&L,4.0,H317:2;Not classified:2
7179,4'-benzyloxy-2-bromopropiophenone,252-351-6,35081-45-9,Skin Sens. 1,REACH registration C&L,9.0,H317:3;H302:3;H301:1;Not classified:2;H319:1;H315:1;H335:1
7180,"Hexadecane-1,16-diol",230-030-1,6920-24-7,Not Classified,Notified C&L,1.0,Not classified:1
7182,1-bromo-2-methylpropyl propanoate,605-166-3,158894-67-8,Flam. Liq. 3;Skin Corr. 1B;Skin Sens. 1;Carc. 2,Notified C&L,1.0,H314:1;H226:1;H351:1;H317:1
7188,2-bromo-6-nitrotoluene,259-566-4,55289-35-5,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,48.0,H319:47;H315:47;H335:46;H312:6;H302:7;H332:2
7190,"Octane-1,8-dithiol",214-738-8,1191-62-4,Acute Tox. 4,Notified C&L,135.0,H302:135;H319:2;H315:2;H335:1
7192,"6,10-dimethylundecen-2-one",215-340-7,1322-58-3,Skin Sens. 1,Notified C&L,233.0,H317:233
7194,"1,3-BENZENEDIMETHANAMINE, N-(2-PHENYLETHYL) DERIVS.",609-828-2,404362-22-7,Acute Tox. 4;Skin Corr. 1A;Skin Sens. 1;STOT RE 1,Notified C&L,56.0,H314:51;H317:51;H410:51;H373:51;H372:23;H302:51;H400:28;Not classified:5
7197,"Backhousia citriodora, ext.",283-909-7,84775-80-4,Skin Irrit. 2;Skin Sens. 1,Notified C&L,12.0,H315:12;H317:11;H411:3;H319:3;H340:1;H334:1;H302:1
7200,"α,α,α-trifluoro-p-toluidine",207-236-5,455-14-1,Acute Tox. 3;Eye Dam. 1;Acute Tox. 3;STOT RE 1;Aquatic Chronic 1,REACH registration C&L,87.0,H318:6;H410:52;H331:6;H372:6;H301:54;H400:52;H319:48;Not classified:33;H341:5;H315:4;H330:2;H373:2;H311:2
7201,2-(2-ethoxyethoxy)ethyl acrylate,230-811-7,7328-17-8,Acute Tox. 4;Acute Tox. 3;Skin Irrit. 2;Skin Sens. 1A;Eye Irrit. 2;Aquatic Chronic 2,REACH registration C&L,577.0,H319:445;H315:361;H317:360;H411:96;H302:277;H311:12;H312:281;H314:56;H318:92;H412:72;H335:114;Not classified:31
7202,Amidinouronium dihydrogen phosphate,253-264-6,36897-89-9,Not Classified,Notified C&L,1.0,Not classified:1
7205,"Benzoic acid, 2,6-dichloro-3-(trifluoromethyl)-",607-829-2,25922-41-2,,Notified C&L,4.0,H319:4;H315:4;H335:4
7207,"Hydroxy(2-hydroxybenzoato-O1,O2)copper",263-506-2,62320-94-9,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,42.0,H319:38;H315:38;H335:38;H302:4;H400:4;H410:4
7208,Benzyl 3-pyrroline-1-carboxylate,608-686-9,31970-04-4,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,41.0,H319:41;H315:41;H335:40
