cl_id,name,EC_No,CAS_No,cl_classification,sourse,num_of_notifiers,ghs_and_notifiers
245082,1-(tetrahydro-2H-pyran-2-yl)-1H-pyrazole,807-897-5,449758-17-2,Acute Tox. 4;Acute Tox. 4;Acute Tox. 4,REACH registration C&L,4,H302:3;H312:3;H332:3;H315:1;H335:1;H319:1
245083,"3-[[(5-chloro-2-thienyl)carbonyl]amino]tetrahydro-N-[(1S)-2,3,4,5-tetrahydro-1,3-dimethyl-1H-3-benzazepin-7-yl]-, (3S)-",807-898-0,1037301-41-9,Acute Tox. 4,Notified C&L,1,H302:1
245085,2-ethylbutyl carbonochloridate,807-901-5,58906-64-2,Acute Tox. 3;Acute Tox. 3;Skin Corr. 1B;Skin Sens. 1;Eye Dam. 1;Acute Tox. 3,Notified C&L,2,H311:1;H301:1;H314:1;H318:1;H331:1;H317:1;Not classified:1
245086,1-chloro-4-(chloromethyl)-2-methylbenzene,807-902-0,92304-76-2,Flam. Liq. 2;Acute Tox. 3,Notified C&L,1,H301:1;H225:1
245087,"(6R, 7R)-7-{(2Z)-2-(ethoxyimino)-2-[5-phosphonoamino)-1,2,4-thiadiazol-3-yl]acetamido}-3-{[4-(1-methylpyridin-1-ium-4-yl)-1,3-thiazol-2-yl]sulfanyl}8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate monoacetate monohydrate",807-903-6,400827-55-6,Skin Sens. 1;Resp. Sens. 1,Notified C&L,1,H334:1;H317:1
245088,"Carboxylic acids, C5-9, triesters with 2-ethyl-2-(hydroxymethyl)propane-1,3-diol",941-924-2,,Not Classified,REACH registration C&L,1,Not classified:1
245089,"(R)-2-Chloro-7-ethyl-8-isopropyl-5-methyl-6-oxo-5,6,7,8-tetrahydropyrimido[4,5-b]pyrazine",807-904-1,877676-50-1,Acute Tox. 4,Notified C&L,2,H302:1;H315:1;H335:1;H319:1
245090,"3-chloro-5-(6-chloropyridin-3-yl)-6-methyl-4-(2,4,6-trifluorophenyl)pyridazine",807-905-7,1002756-87-7,Skin Sens. 1;Eye Irrit. 2;Aquatic Chronic 2,Notified C&L,156,H319:156;H411:156;H317:156
245091,"8-({[(carboxymethoxy)ethoxy]acetyl}amino)naphtalene-1,3,6-trisulfonate trisodium salt",941-925-8,,Skin Irrit. 2;Eye Irrit. 2,Notified C&L,1,H315:1;H335:1;H319:1
245092,4-(Hydroxymethyl)-1H-indazole,807-906-2,709608-85-5,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,1,H315:1;H335:1;H319:1
245093,4-Chloronicotinaldehyde,807-907-8,114077-82-6,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,1,H332:1;H315:1;H335:1;H312:1;H302:1;H319:1
245094,6-(Bromomethyl)nicotinic acid,807-908-3,221323-59-7,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,1,H332:1;H315:1;H335:1;H312:1;H302:1;H319:1
245095,3-Bromo-5-methylpyridine-2-carbonitrile,807-909-9,474824-78-7,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,1,H332:1;H315:1;H335:1;H312:1;H302:1;H319:1
245096,5-Bromo-2-(piperidin-1-ylcarbonyl)pyridine,807-910-4,934000-33-6,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,1,H332:1;H315:1;H335:1;H312:1;H302:1;H319:1
245097,2-Hydrazino-1H-benzimidazole,807-912-5,15108-18-6,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,1,H332:1;H315:1;H335:1;H312:1;H302:1;H319:1
245098,"1H-Pyrazolo[3,4-b]pyridine-5-carboxaldehyde",807-913-0,955127-76-1,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,1,H315:1;H335:1;H319:1
245099,"1,3-oxazol-2-ylmethanol",807-914-6,130551-92-7,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,2,H332:2;H315:2;H335:2;H312:2;H302:2;H319:2
245100,2-CHLORO-5-METHYLPYRIMIDINE,807-915-1,22536-61-4,Acute Tox. 4;Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;Acute Tox. 4;STOT SE 3,Notified C&L,4,H332:2;H315:4;H335:3;H312:2;H302:3;H319:4
