cl_id,name,EC_No,CAS_No,cl_classification,sourse,num_of_notifiers,ghs_and_notifiers
188237,2-(2-(4-METHOXYBENZYLIDENE)HYDRAZINO)-N-(1-NAPHTHYL)-2-OXOACETAMIDE,656-370-4,331264-80-3,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H400:38;H410:38
188238,2-OXO-N-PHENYL-2-(2-(2-(TRIFLUOROMETHYL)BENZYLIDENE)HYDRAZINO)ACETAMIDE,656-372-5,767313-88-2,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H400:38;H410:38
188239,"N-(2-(2-(2,6-DICHLOROBENZYLIDENE)HYDRAZINO)-2-OXOETHYL)-4-FLUOROBENZAMIDE",656-373-0,767314-02-3,Acute Tox. 4;Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H400:38;H302:38;H410:38
188240,"2,4-DIHYDROXY-N'-((2-HYDROXY-1-NAPHTHYL)METHYLENE)BENZOHYDRAZIDE",656-374-6,159226-01-4,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3;Aquatic Acute 1,Notified C&L,38,H335:38;H319:38;H400:38;H315:38
188241,2-(2-(3-METHOXYBENZYLIDENE)HYDRAZINO)-N-(1-NAPHTHYL)-2-OXOACETAMIDE,656-375-1,349484-36-2,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H400:38;H410:38
188242,2-MEO-4-(2-((1-NAPHTHYLAMINO)(OXO)AC)CARBOHYDRAZONOYL)PHENYL 4-BUTOXYBENZOATE,656-376-7,767314-01-2,Aquatic Chronic 4,Notified C&L,38,H413:38
188243,4-(2-((4-ETHYLANILINO)(OXO)AC)CARBOHYDRAZONOYL)-2-METHOXYPHENYL 4-BUTOXYBENZOATE,656-377-2,767314-00-1,Aquatic Chronic 4,Notified C&L,38,H413:38
188244,4-(2-PALMITOYLCARBOHYDRAZONOYL)PHENYL 2-THIOPHENECARBOXYLATE,656-378-8,767313-99-5,Skin Sens. 1,Notified C&L,38,H317:38
188245,2-(2-(2-CHLOROBENZYLIDENE)HYDRAZINO)-2-OXO-N-PHENYLACETAMIDE,656-379-3,357207-54-6,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H400:38;H410:38
188246,4-(2-(ANILINOCARBOTHIOYL)CARBOHYDRAZONOYL)PHENYL 4-PROPOXYBENZOATE,656-380-9,767313-98-4,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;STOT SE 3;Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H319:38;H400:38;H302:38;H410:38;H335:38;H315:38
188247,2-ETHOXY-4-(2-(4-((PH-SULFONYL)AMINO)BENZOYL)CARBOHYDRAZONOYL)PH 4-CL-BENZOATE,656-381-4,767314-09-0,Skin Sens. 1;Aquatic Chronic 4,Notified C&L,38,H413:38;H317:38
188248,"N-(2-CHLOROPHENYL)-2-(2-(3,4-DIMETHOXYBENZYLIDENE)HYDRAZINO)-2-OXOACETAMIDE",656-383-5,767314-08-9,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H400:38;H410:38
188249,2-(2-(1-NAPHTHYLACETYL)CARBOHYDRAZONOYL)PHENYL 4-CHLOROBENZOATE,656-384-0,340221-50-3,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H400:38;H410:38
188250,4-ETHOXY-N-(2-(2-((2-HO-1-NAPHTHYL)METHYLENE)HYDRAZINO)-2-OXOETHYL)BENZAMIDE,656-385-6,767314-07-8,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;STOT SE 3;Aquatic Acute 1,Notified C&L,38,H319:38;H400:38;H302:38;H335:38;H315:38
188251,2-(2-BENZYLIDENEHYDRAZINO)-N-(3-METHOXYPHENYL)-2-OXOACETAMIDE,656-386-1,357267-40-4,Aquatic Acute 1,Notified C&L,38,H400:38
188252,2-ETHOXY-4-(2-(3-PYRIDINYLCARBONYL)CARBOHYDRAZONOYL)PHENYL 4-CHLOROBENZOATE,656-387-7,767314-06-7,Acute Tox. 4;Skin Irrit. 2;Skin Sens. 1;Eye Irrit. 2;STOT SE 3;Aquatic Chronic 4,Notified C&L,38,H413:38;H319:38;H317:38;H302:38;H335:38;H315:38
188253,4-(2-(4-((4-CHLOROBENZYL)OXY)BENZOYL)CARBOHYDRAZONOYL)PHENYL 1-NAPHTHOATE,656-388-2,767314-05-6,Skin Sens. 1;Aquatic Chronic 4,Notified C&L,38,H413:38;H317:38
188254,2-ETHOXY-4-(2-(1-NAPHTHOYL)CARBOHYDRAZONOYL)PHENYL 4-CHLOROBENZOATE,656-389-8,767314-04-5,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H400:38;H410:38
188255,N'-(5-BROMO-2-HYDROXYBENZYLIDENE)-4-((4-METHYLBENZYL)OXY)BENZOHYDRAZIDE,656-390-3,765278-26-0,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,38,H335:38;H319:38;H315:38
188256,"N-(2-(2-(2,4-DICHLOROBENZYLIDENE)HYDRAZINO)-2-OXOETHYL)TETRADECANAMIDE",656-391-9,765278-27-1,Aquatic Chronic 4,Notified C&L,38,H413:38
188257,N'-(5-BROMO-2-HYDROXYBENZYLIDENE)TETRADECANOHYDRAZIDE,656-392-4,765278-28-2,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,38,H335:38;H319:38;H315:38
